date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-02-21,Saturday,AERO,6.005,3.77,559.3333333333334,23.191875,63.635,104,37.2,,21.0,114,15
2026-02-11,Wednesday,AERO,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,104,34.8,,10.0,74,9
2026-03-14,Saturday,DWC,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,2,40.5,,23.0,189,44
2026-03-10,Tuesday,AERO,6.212916666666668,3.690625,726.9166666666666,23.27083333333333,63.43395833333333,104,42.0,,51.0,472,50
2026-02-26,Thursday,DWC,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,2,35.7,,15.0,110,19
2026-03-09,Monday,DWC,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,2,39.3,,19.0,163,22
2026-03-12,Thursday,DWC,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,6,40.4,,30.0,277,32
2026-02-27,Friday,AERO,6.084166666666667,3.692083333333333,616.9583333333334,23.201666666666668,63.08541666666667,106,33.2,,25.0,218,33
2026-02-10,Tuesday,DWC,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,2,32.5,,6.0,57,14
2026-03-02,Monday,DWC,6.104791666666666,3.6670833333333337,642.1666666666666,23.29479166666667,62.83145833333333,5,43.8,,24.0,176,30
2026-02-16,Monday,AERO,5.894166666666667,3.700416666666667,502.8541666666667,23.142291666666665,62.814166666666665,105,34.9,,14.0,115,22
2026-03-09,Monday,DWC,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,3,37.1,,15.0,144,28
2026-03-07,Saturday,AERO,6.169791666666666,3.7295833333333337,698.6666666666666,23.24833333333333,63.13520833333333,103,29.4,,24.0,410,37
2026-03-06,Friday,AERO,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,105,38.1,,31.0,392,49
2026-02-06,Friday,AERO,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,106,29.4,,9.0,56,12
2026-02-20,Friday,DWC,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,6,36.1,,17.0,83,9
2026-02-10,Tuesday,AERO,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,105,33.6,,5.0,86,15
2026-02-24,Tuesday,DWC,6.03625,3.7708333333333335,584.6875,23.178541666666664,63.379375,6,36.7,,18.0,101,22
2026-02-11,Wednesday,AERO,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,101,21.6,,7.0,90,6
2026-03-02,Monday,DWC,6.104791666666666,3.6670833333333337,642.1666666666666,23.29479166666667,62.83145833333333,6,38.1,,23.0,153,26
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,106,34.0,,29.0,274,35
2026-02-12,Thursday,DWC,5.882291666666667,3.753958333333333,468.625,23.252291666666665,63.668958333333336,6,34.3,,10.0,43,10
2026-03-02,Monday,DWC,6.104791666666666,3.6670833333333337,642.1666666666666,23.29479166666667,62.83145833333333,3,35.7,,13.0,100,22
2026-03-12,Thursday,AERO,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,101,17.0,,18.0,312,34
2026-02-26,Thursday,AERO,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,103,27.1,,18.0,243,31
2026-03-12,Thursday,AERO,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,104,42.2,,54.0,551,54
2026-02-13,Friday,DWC,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,1,25.9,,14.0,109,14
2026-02-18,Wednesday,DWC,5.962083333333333,3.72375,523.0208333333334,23.314375,63.46354166666666,6,35.8,,16.0,64,7
2026-02-18,Wednesday,DWC,5.962083333333333,3.72375,523.0208333333334,23.314375,63.46354166666666,5,41.2,,13.0,72,8
2026-02-19,Thursday,DWC,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,1,27.5,,21.0,127,29
2026-03-04,Wednesday,AERO,6.136875,3.674166666666667,659.75,23.15416666666667,63.736250000000005,105,37.6,,30.0,353,48
2026-02-14,Saturday,AERO,5.926458333333333,3.5860416666666666,482.5,23.159375,63.02458333333333,103,24.3,,12.0,132,18
2026-02-28,Saturday,AERO,6.071666666666666,3.6695833333333336,623.4583333333334,23.215208333333333,63.848125,102,27.5,,14.0,193,23
2026-02-09,Monday,AERO,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,106,29.8,,9.0,66,14
2026-02-27,Friday,DWC,6.084166666666667,3.692083333333333,616.9583333333334,23.201666666666668,63.08541666666667,3,35.2,,12.0,98,19
2026-02-11,Wednesday,AERO,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,106,30.2,,9.0,76,16
2026-02-26,Thursday,DWC,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,5,42.5,,18.0,122,21
2026-03-14,Saturday,AERO,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,104,42.2,,54.0,560,60
2026-02-19,Thursday,DWC,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,4,30.6,,15.0,110,18
2026-03-10,Tuesday,AERO,6.212916666666668,3.690625,726.9166666666666,23.27083333333333,63.43395833333333,102,30.5,,21.0,311,30
2026-03-11,Wednesday,DWC,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,3,37.5,,15.0,170,26
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,104,39.4,,35.0,291,25
2026-03-05,Thursday,DWC,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,3,36.4,,16.0,128,23
2026-03-13,Friday,AERO,6.224791666666667,3.689166666666667,763.2708333333334,23.370625,62.821041666666666,102,31.3,,24.0,339,32
2026-02-12,Thursday,AERO,5.882291666666667,3.753958333333333,468.625,23.252291666666665,63.668958333333336,102,23.5,,9.0,43,6
2026-03-12,Thursday,AERO,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,103,30.3,,31.0,513,45
2026-02-06,Friday,AERO,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,103,22.6,,11.0,95,9
2026-02-26,Thursday,AERO,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,104,38.4,,25.0,192,19
2026-02-10,Tuesday,DWC,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,4,28.5,,9.0,68,16
2026-02-07,Saturday,AERO,5.804791666666667,3.647083333333333,408.7291666666667,23.255625,62.98916666666667,103,22.7,,11.0,100,10
2026-03-10,Tuesday,DWC,6.212916666666668,3.690625,726.9166666666666,23.27083333333333,63.43395833333333,3,37.2,,15.0,161,26
2026-02-11,Wednesday,AERO,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,102,23.2,,8.0,39,5
2026-03-07,Saturday,DWC,6.169791666666666,3.7295833333333337,698.6666666666666,23.24833333333333,63.13520833333333,1,33.6,,31.0,293,53
2026-02-12,Thursday,AERO,5.882291666666667,3.753958333333333,468.625,23.252291666666665,63.668958333333336,101,21.8,,8.0,96,7
2026-02-27,Friday,AERO,6.084166666666667,3.692083333333333,616.9583333333334,23.201666666666668,63.08541666666667,104,38.5,,28.0,216,20
2026-03-11,Wednesday,AERO,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,103,30.3,,28.0,506,43
2026-02-10,Tuesday,AERO,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,102,23.0,,8.0,37,6
2026-03-16,Monday,DWC,6.276875,3.726458333333333,786.5625,23.263125,63.2775,6,41.2,,32.0,291,36
2026-02-19,Thursday,AERO,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,106,31.8,,17.0,145,23
2026-02-18,Wednesday,DWC,5.962083333333333,3.72375,523.0208333333334,23.314375,63.46354166666666,3,39.7,,13.0,82,9
2026-02-27,Friday,DWC,6.084166666666667,3.692083333333333,616.9583333333334,23.201666666666668,63.08541666666667,4,31.9,,19.0,202,29
2026-03-11,Wednesday,DWC,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,6,40.2,,30.0,237,32
2026-03-14,Saturday,AERO,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,103,30.5,,28.0,469,45
2026-03-02,Monday,AERO,6.104791666666666,3.6670833333333337,642.1666666666666,23.29479166666667,62.83145833333333,104,39.1,,34.0,273,24
2026-03-16,Monday,AERO,6.276875,3.726458333333333,786.5625,23.263125,63.2775,106,36.3,,39.0,602,59
2026-03-06,Friday,AERO,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,102,29.1,,17.0,257,27
2026-02-10,Tuesday,DWC,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,5,38.8,,6.0,38,9
2026-02-07,Saturday,AERO,5.804791666666667,3.647083333333333,408.7291666666667,23.255625,62.98916666666667,106,29.6,,9.0,61,13
2026-02-11,Wednesday,DWC,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,5,39.3,,8.0,41,9
2026-03-12,Thursday,AERO,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,106,36.0,,38.0,589,48
2026-03-04,Wednesday,DWC,6.136875,3.674166666666667,659.75,23.15416666666667,63.736250000000005,2,38.1,,18.0,155,21
2026-02-09,Monday,DWC,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,4,28.4,,9.0,63,14
2026-03-07,Saturday,AERO,6.169791666666666,3.7295833333333337,698.6666666666666,23.24833333333333,63.13520833333333,105,38.2,,33.0,417,49
2026-02-19,Thursday,DWC,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,6,36.0,,16.0,59,7
2026-02-26,Thursday,DWC,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,3,35.0,,13.0,96,18
2026-03-03,Tuesday,DWC,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,4,32.4,,16.0,180,32
2026-03-09,Monday,DWC,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,4,33.9,,20.0,208,34
2026-02-07,Saturday,AERO,5.804791666666667,3.647083333333333,408.7291666666667,23.255625,62.98916666666667,104,34.1,,9.0,62,7
2026-02-13,Friday,AERO,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,101,21.9,,9.0,102,8
2026-02-20,Friday,DWC,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,1,27.8,,21.0,154,28
2026-02-09,Monday,DWC,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,3,38.2,,9.0,37,4
2026-03-10,Tuesday,AERO,6.212916666666668,3.690625,726.9166666666666,23.27083333333333,63.43395833333333,105,39.8,,40.0,489,52
2026-02-28,Saturday,AERO,6.071666666666666,3.6695833333333336,623.4583333333334,23.215208333333333,63.848125,106,33.5,,29.0,224,33
2026-02-27,Friday,AERO,6.084166666666667,3.692083333333333,616.9583333333334,23.201666666666668,63.08541666666667,103,27.2,,20.0,264,32
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,105,37.4,,31.0,329,46
2026-02-23,Monday,DWC,6.030625000000001,3.689375,578.125,23.334375,63.12270833333333,6,36.5,,17.0,91,20
2026-03-06,Friday,DWC,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,2,38.4,,19.0,169,22
2026-03-05,Thursday,AERO,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,103,28.9,,22.0,351,40
2026-02-07,Saturday,DWC,5.804791666666667,3.647083333333333,408.7291666666667,23.255625,62.98916666666667,6,33.5,,6.0,29,7
2026-02-28,Saturday,DWC,6.071666666666666,3.6695833333333336,623.4583333333334,23.215208333333333,63.848125,6,37.5,,22.0,92,22
2026-03-03,Tuesday,DWC,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,3,35.9,,14.0,104,23
2026-03-12,Thursday,DWC,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,5,46.9,,45.0,301,34
2026-02-11,Wednesday,AERO,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,105,33.9,,5.0,91,16
2026-02-23,Monday,DWC,6.030625000000001,3.689375,578.125,23.334375,63.12270833333333,2,35.0,,13.0,84,18
2026-02-16,Monday,AERO,5.894166666666667,3.700416666666667,502.8541666666667,23.142291666666665,62.814166666666665,104,35.9,,13.0,88,11
2026-03-11,Wednesday,AERO,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,104,42.2,,54.0,499,50
2026-02-14,Saturday,AERO,5.926458333333333,3.5860416666666666,482.5,23.159375,63.02458333333333,106,30.8,,13.0,102,18
2026-02-12,Thursday,AERO,5.882291666666667,3.753958333333333,468.625,23.252291666666665,63.668958333333336,106,30.5,,10.0,86,18
2026-03-09,Monday,DWC,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,6,39.8,,31.0,201,32
2026-02-09,Monday,DWC,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,1,24.6,,12.0,98,12
2026-02-21,Saturday,AERO,6.005,3.77,559.3333333333334,23.191875,63.635,106,32.1,,18.0,168,26
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,103,28.6,,21.0,294,39
2026-03-11,Wednesday,DWC,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,4,34.4,,22.0,257,37
2026-03-17,Tuesday,AERO,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,106,36.6,,40.0,598,60
2026-03-11,Wednesday,DWC,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,1,34.3,,31.0,357,53
2026-03-09,Monday,AERO,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,103,30.0,,27.0,444,43
2026-02-13,Friday,DWC,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,4,29.2,,12.0,75,16
2026-03-17,Tuesday,DWC,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,2,41.1,,25.0,193,47
2026-02-24,Tuesday,DWC,6.03625,3.7708333333333335,584.6875,23.178541666666664,63.379375,4,31.3,,18.0,148,27
2026-03-05,Thursday,DWC,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,6,38.8,,25.0,177,26
2026-03-17,Tuesday,AERO,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,103,31.2,,31.0,486,49
2026-02-19,Thursday,AERO,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,102,25.0,,10.0,52,14
2026-02-06,Friday,DWC,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,5,37.5,,5.0,29,8
2026-03-14,Saturday,DWC,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,1,34.6,,30.0,390,53
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,102,28.8,,16.0,222,26
2026-03-14,Saturday,DWC,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,4,35.3,,25.0,270,37
2026-02-20,Friday,AERO,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,103,25.7,,15.0,159,26
2026-02-19,Thursday,DWC,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,2,34.1,,12.0,63,14
2026-02-23,Monday,DWC,6.030625000000001,3.689375,578.125,23.334375,63.12270833333333,5,42.0,,19.0,110,16
2026-02-12,Thursday,AERO,5.882291666666667,3.753958333333333,468.625,23.252291666666665,63.668958333333336,104,35.1,,11.0,82,10
2026-03-09,Monday,AERO,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,105,39.5,,40.0,451,52
2026-03-06,Friday,DWC,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,3,36.6,,16.0,135,23
2026-02-21,Saturday,AERO,6.005,3.77,559.3333333333334,23.191875,63.635,101,23.2,,15.0,158,15
2026-02-06,Friday,DWC,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,6,33.2,,5.0,32,6
2026-02-07,Saturday,AERO,5.804791666666667,3.647083333333333,408.7291666666667,23.255625,62.98916666666667,102,22.4,,8.0,33,6
2026-03-13,Friday,DWC,6.224791666666667,3.689166666666667,763.2708333333334,23.370625,62.821041666666666,3,38.1,,15.0,123,16
2026-03-05,Thursday,AERO,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,102,28.9,,17.0,253,28
2026-03-02,Monday,DWC,6.104791666666666,3.6670833333333337,642.1666666666666,23.29479166666667,62.83145833333333,2,37.7,,17.0,134,21
2026-03-11,Wednesday,AERO,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,105,40.2,,41.0,528,52
2026-02-13,Friday,AERO,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,102,23.7,,9.0,44,6
2026-03-17,Tuesday,AERO,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,104,43.0,,57.0,593,65
2026-02-21,Saturday,DWC,6.005,3.77,559.3333333333334,23.191875,63.635,1,28.3,,22.0,169,31
2026-02-10,Tuesday,AERO,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,101,21.4,,7.0,84,6
